ID,outcome,SUT,Confidence,dsa,lsa,conf*(1-norm_dsa)
0,Pass,3,0.945353568,1.340552688,450.4500279,0.535987010
1,Pass,8,0.999999642,0.570355415,455.4500279,0.815761469
2,Pass,8,0.88115859,1.017876625,455.4500279,0.591435288090333
3,Pass,0,0.966837287,0.970059276,447.4500279,0.663876884
4,Pass,6,1,0.785827339,453.4500279,0.746159251590424
5,Pass,6,0.999984026,0.965053558,453.4500279,0.688253965
6,Pass,1,0.999789774,0.922833383,448.4500279,0.701755513
7,Pass,6,0.706504405,0.924180567,453.4500279,0.495590160
8,Pass,3,0.819887638,1.130459547,450.4500279,0.520493309
9,Pass,1,0.993688941,0.942385137,448.4500279,0.691197500
10,Pass,0,0.836353004,1.091710329,447.4500279,0.541414654
11,Pass,9,1,0.242135927,456.4500279,0.921784389679364
12,Fail,4,0.768846989,1.065372467,452.4500279,0.504255669
13,Pass,7,1,0.522521436,454.4500279,0.831213263026617
14,Pass,9,1,0.892956674,456.4500279,0.711553951897459
15,Pass,8,0.990595222,0.917425454,455.4500279,0.697032288
16,Pass,5,0.999738038,0.86669004,452.4500279,0.719850070872791
17,Fail,9,0.991146624,1.01833415,454.4500279,0.665112978625104
18,Pass,8,1,0.742129385,455.4500279,0.760274720468667
19,Pass,6,1,0.564675748,453.4500279,0.817596426890084
20,Pass,7,0.993819535,1.130756736,454.4500279,0.630815946
21,Pass,0,0.983171523,0.863985717,447.4500279,0.708780398
22,Pass,4,0.997158647,1.211253762,451.4500279,0.607006857
23,Pass,9,1,0.277675599,456.4500279,0.910304238135908
24,Fail,4,0.960347354,0.942019403,452.4500279,0.668118969
25,Pass,2,0.473578155,1.077606082,449.4500279,0.308729313
26,Pass,4,0.925929904,1.210173488,451.4500279,0.563970428
27,Pass,0,0.952795744,1.335752368,447.4500279,0.541683921
28,Pass,9,1,0.326834083,456.4500279,0.89442488939103
29,Pass,6,1,0.559982717,453.4500279,0.819112386493711
30,Pass,6,0.999926567,1.050823927,453.4500279,0.660510602
31,Pass,5,0.999992132,0.691478193,452.4500279,0.776630138
32,Pass,4,0.831570148,1.204241633,451.4500279,0.508090670
33,Fail,6,0.737659335,1.381094694,452.4500279,0.408570230
34,Pass,9,1,0.394127101,456.4500279,0.872687658826366
35,Fail,1,0.901334941,0.946865261,449.4500279,0.625652823
36,Pass,4,0.998486221,0.93784523,451.4500279,0.695998704975511
37,Fail,9,0.999961257,0.928703785,448.4500279,0.699979672
38,Pass,9,1,0.292264313,456.4500279,0.90559173973288
39,Pass,5,1,0.349059224,452.4500279,0.887245645115656
40,Pass,4,0.996852934,0.499938101,451.4500279,0.835869372
41,Pass,6,1,0.62174505,453.4500279,0.799161697513874
42,Pass,5,0.999994278,0.951504707,452.4500279,0.692637594
43,Pass,6,1,0.740769148,453.4500279,0.760714109073464
