ID,Outcome,SUT,Confidence,dsa,lsa,conf*(1-norm_dsa)
0,Pass,7,1,0.2199138,30085.0648,0.861785383592104
1,Pass,2,0.99999917,0.37315944,30148.8245,0.76547070
2,Pass,1,0.99998283,0.12737596,30020.725,0.91992911
3,Pass,0,0.99997878,0.30871958,30092.5851,0.80595434
4,Pass,4,0.99989855,0.36400321,30122.7151,0.77114774
5,Pass,1,0.99997723,0.12406803,30019.724,0.92200293
6,Pass,4,0.99963963,0.65475482,30168.257,0.58827811
7,Pass,9,0.99979979,0.510472,30193.6652,0.679035172626497
8,Pass,5,0.95516068,1.02145898,30273.5678,0.34196532
9,Pass,9,0.99989676,0.26541504,30109.8554,0.83310209
10,Pass,0,0.99999917,0.25261244,30092.8033,0.84123377
11,Pass,6,0.99999881,0.44168717,30177.4728,0.72240118
12,Pass,9,0.99996233,0.34507495,30101.0147,0.78309279
13,Pass,0,0.99999881,0.24175188,30087.0017,0.84805926
14,Pass,1,0.99999857,0.23267078,30048.0725,0.85376647
15,Pass,5,0.99998689,0.42827019,30165.3821,0.73082495
16,Pass,9,0.9999547,0.35585198,30105.0426,0.776313814885079
17,Pass,7,1,0.18125723,30085.4298,0.886080825688939
18,Pass,3,0.99404222,0.65213424,30286.6264,0.58662130
19,Pass,4,0.99999964,0.34710503,30114.7699,0.78184611
20,Pass,9,0.99853992,0.45275608,30103.4293,0.71440068
21,Pass,6,0.99970263,0.32738507,30125.3295,0.79400410
22,Pass,6,0.99998569,0.43719339,30128.7835,0.72521598
23,Pass,5,1,0.24110413,30135.4818,0.848467377480133
24,Pass,4,0.99988163,0.4551487,30120.1937,0.713857030656684
25,Pass,0,0.99999607,0.39979079,30115.7549,0.74873074
26,Pass,7,0.99995518,0.35301822,30091.5971,0.77809511
27,Pass,4,0.99999988,0.25710711,30117.7917,0.83840949
28,Pass,0,0.99999118,0.32918888,30097.6097,0.79309960
29,Pass,1,0.99998379,0.22760057,30039.6193,0.85694040
30,Pass,3,0.99999976,0.29570684,30102.9178,0.81414968
31,Pass,1,0.99996662,0.20841993,30043.9376,0.86898021
32,Pass,3,1,0.21545598,30102.1527,0.864587098997483
33,Pass,4,0.99920803,0.65134937,30510.9822,0.59016273
34,Pass,7,0.99999797,0.22837622,30088.9457,0.85646506
35,Pass,2,0.99999988,0.37228054,30148.2164,0.76602363
36,Pass,7,0.99702233,0.68485332,30178.8472,0.56787745
37,Pass,1,0.99999785,0.1471713,30025.42,0.907501694496716
38,Pass,2,0.99999559,0.48547167,30168.1805,0.69488066
39,Pass,1,0.99999034,0.24979372,30040.327,0.84299787
40,Pass,1,0.99992657,0.22762425,30029.1287,0.85687648
41,Pass,7,0.99935943,0.55874252,30137.6985,0.64841777
42,Pass,4,0.99998498,0.33994892,30123.0971,0.78633216
43,Pass,2,0.9999069,0.71896172,30210.3056,0.548085473150235
44,Pass,3,0.99979824,0.39666653,30132.6096,0.75054580
45,Pass,5,0.9999994,0.3069922,30130.7445,0.8070566
46,Pass,1,0.99984097,0.22747649,30055.8045,0.85689598
47,Pass,2,1,0.35322329,30145.9311,0.778001100732718
48,Pass,4,0.99996197,0.28122923,30124.8264,0.82321766
49,Pass,4,0.99999881,0.32140851,30126.6587,0.79799557
50,Pass,6,0.99999797,0.34565637,30103.9894,0.78275528
51,Pass,3,0.99999845,0.26439917,30107.7954,0.83382528
52,Pass,5,1,0.28218573,30136.2724,0.822647817336919
53,Pass,5,0.99999809,0.24758935,30123.2091,0.84438984
54,Pass,6,0.99999988,0.40981457,30216.6877,0.74243370
55,Pass,0,0.99999881,0.14167535,30087.5889,0.91095674
56,Pass,4,1,0.20333847,30121.4034,0.872202887531303
57,Pass,1,0.99994504,0.18585904,30029.2961,0.88314007
58,Pass,9,0.99998665,0.32499269,30108.0047,0.79573325
59,Pass,5,0.9999187,0.54096401,30180.4038,0.659953429961905
60,Pass,7,0.99999225,0.34897795,30105.1881,0.78066322
61,Pass,8,0.99999976,0.47006813,30182.6545,0.70456459
62,Pass,9,0.51878989,0.69368231,30334.9656,0.29261020
63,Pass,3,0.99981958,0.50862545,30150.2247,0.68020895
64,Pass,7,0.99999881,0.38610554,30147.6879,0.75733389
65,Pass,4,0.99880075,0.44695303,30134.2922,0.71823010
66,Pass,6,0.99997544,0.46847591,30171.3823,0.70554813
67,Pass,4,0.9999243,0.36097518,30133.4712,0.773070554538886
68,Pass,3,0.99999976,0.21661048,30098.6876,0.86386129
69,Pass,0,0.99999893,0.19124427,30092.3438,0.87980308
70,Pass,7,0.99999976,0.24899106,30093.3906,0.84351028
71,Pass,0,0.99999988,0.22705144,30089.1111,0.85729931
72,Pass,2,0.99999511,0.58048904,30170.9977,0.63516272
73,Pass,9,0.98285705,0.46904722,30171.1518,0.69311708
74,Pass,1,0.99999142,0.16125973,30029.7712,0.89864143
75,Pass,7,1,0.36922255,30111.6666,0.767945653627033
76,Pass,3,0.99999988,0.27621007,30102.1253,0.82640339
77,Pass,2,0.99997485,0.49736375,30186.3662,0.68739232
78,Pass,9,0.97251141,0.62378424,30156.9146,0.59124320
79,Pass,7,0.99999094,0.32543755,30092.3489,0.79545708
80,Pass,7,0.99878973,0.41175708,30111.4906,0.74031587
81,Pass,6,0.99998474,0.32951653,30106.6317,0.79288857
82,Pass,2,1,0.25870204,30135.7789,0.837407187622877
83,Pass,7,0.99999654,0.23254146,30088.6957,0.85384601
84,Pass,8,0.99999964,0.4254095,30170.8843,0.732632200159649
85,Pass,4,0.99999976,0.2959401,30128.3043,0.81400307591544
86,Pass,7,0.99999416,0.30594206,30090.9141,0.80771238
87,Pass,3,0.99994159,0.70627415,30380.8495,0.55607809
88,Pass,6,0.99999988,0.25450617,30122.9373,0.84004417
89,Pass,1,0.9999398,0.29690781,30095.2068,0.813346104468775
90,Pass,3,0.99999988,0.31740093,30103.953,0.80051516
91,Pass,6,0.99999976,0.25189191,30102.0115,0.84168711
92,Pass,9,0.54417962,0.8026281,30177.479,0.269669649497496
93,Pass,3,0.99926728,0.52400339,30120.7047,0.67017533
94,Pass,1,0.99997449,0.29724851,30118.8476,0.81316020
95,Pass,4,0.99729484,0.67051381,30221.7581,0.57702058
96,Pass,1,0.99670863,0.44591576,30186.1032,0.71737545
97,Pass,7,0.99963462,0.48087367,30162.3722,0.69751858
98,Pass,6,0.9999454,0.4562673,30145.8879,0.7131996
99,Pass,9,0.99999928,0.29390457,30101.3998,0.81528200
100,Pass,6,0.99999976,0.34198025,30136.8781,0.78506710
101,Pass,0,0.99999809,0.24373008,30094.9291,0.84681536
102,Pass,5,0.99999785,0.40142104,30169.103,0.74770747
103,Pass,4,1,0.23359933,30128.4556,0.853184103093614
104,Pass,9,0.99961543,0.62236828,30138.9718,0.60861081
105,Pass,9,0.9999975,0.25998712,30101.1287,0.836597430396621
106,Pass,2,0.99999964,0.37588075,30154.4697,0.76376074
107,Pass,1,0.99678987,0.39453989,30114.6272,0.74961972
108,Pass,9,0.9998154,0.40810367,30112.7594,0.743371831310796
109,Pass,4,1,0.32578003,30131.5728,0.795249039033462
110,Pass,8,1,0.30277136,30150.4207,0.809709861856341
111,Pass,7,0.99627727,0.32861453,30129.845,0.79051371
112,Pass,3,0.99999964,0.23275295,30096.4843,0.85371574
113,Pass,9,0.99999976,0.20521991,30104.2343,0.87102020
114,Pass,7,0.99986553,0.36437178,30107.9615,0.77089066
115,Pass,4,0.80249262,1.27812052,30324.4402,0.15785693
116,Pass,4,0.99990237,0.33166996,30133.3043,0.79146997
117,Pass,4,0.99999905,0.42512327,30130.8954,0.73281166
118,Pass,9,0.99954766,0.32666716,30100.668,0.79433201
119,Pass,2,0.99821788,0.70642418,30164.5107,0.55502539
120,Pass,5,0.99999905,0.25400284,30130.8914,0.84035981
121,Pass,4,0.9985618,0.50373685,30216.3955,0.682421282439967
122,Pass,7,0.99998832,0.34002981,30095.8939,0.78628395
123,Pass,6,1,0.30615056,30126.8599,0.80758605320147
124,Pass,7,0.99883658,0.56108487,30187.2887,0.64660809
125,Pass,9,0.99877232,0.77313966,30184.9178,0.51345483
126,Pass,0,0.99975187,0.52088803,30170.7734,0.67245783
127,Pass,5,1,0.20140007,30124.3926,0.873421161293318
128,Pass,8,1,0.26952755,30152.3133,0.83060341399853
129,Pass,5,1,0.16573733,30119.992,0.895834997665363
130,Pass,6,0.99999666,0.30033067,30110.6967,0.81124111
131,Pass,6,0.99999368,0.35054827,30108.9499,0.77967741
132,Pass,5,0.99999404,0.45264336,30121.2973,0.71551187
133,Pass,7,0.99993694,0.56340498,30134.7557,0.64586233
134,Pass,8,1,0.3754099,30150.9186,0.764056938108356
135,Pass,1,0.99999762,0.1855908,30027.5463,0.883355098336535
136,Pass,0,0.99999821,0.22026382,30090.7526,0.86156386
137,Pass,1,0.99997532,0.28664094,30055.4745,0.81982751
138,Pass,6,1,0.28285369,30122.0727,0.822228008142699
139,Pass,4,0.99959391,0.40869576,30142.8969,0.74283518
140,Pass,6,0.99998653,0.33672372,30103.3617,0.78836037
141,Pass,7,0.99999976,0.26783499,30089.2343,0.83166698
142,Pass,3,0.99999607,0.33797017,30134.046,0.78758451
143,Pass,1,0.99999499,0.11229707,30022.3931,0.92941725
144,Pass,7,0.99999762,0.34519032,30116.1827,0.78304791
145,Pass,1,0.99999547,0.17773576,30027.7229,0.88829003
146,Pass,8,1,0.36506635,30154.0487,0.77055780251771
147,Pass,2,0.99999988,0.30330768,30161.0616,0.80937269
148,Pass,0,0.99999905,0.19259034,30084.3612,0.87895719
149,Pass,2,0.99694049,0.79215854,30280.1506,0.50059642
150,Pass,9,0.99997079,0.46912405,30114.4269,0.70513751
151,Pass,9,0.99155641,0.75154668,30403.4365,0.52320172
152,Pass,5,1,0.30833375,30156.4722,0.806213930267868
153,Pass,5,1,0.37520126,30132.9508,0.764188067203334
154,Pass,1,0.99997938,0.16073047,30022.5043,0.89896324
155,Pass,5,0.99999988,0.29377264,30122.6738,0.81536541
156,Pass,6,0.99999869,0.40117425,30126.696,0.74786321
157,Pass,0,0.99999595,0.20158829,30089.1684,0.87329933
158,Pass,3,0.99454004,0.62655497,30248.9028,0.60290374
159,Pass,4,0.99997485,0.32193062,30125.6289,0.79764831
160,Pass,4,0.99917489,0.78335243,30403.084,0.50724842
