ID,outcome,SUT,confidence,dsa,lsa,conf*(1-norm_dsa)
0,Pass,3,0.999905348,1.153450966,1683.684251,0.757758830
1,Pass,8,0.999677658,1.75483954,1695.882795,0.63136419197102
2,Pass,8,0.998287857,1.670725346,1671.94244,0.648116153
3,Pass,0,0.999776781,1.181245089,1675.584607,0.751827266
4,Pass,6,0.999927521,0.765876174,1687.671734,0.839141873
5,Pass,6,0.999802291,1.560752034,1674.88151,0.672183927
6,Pass,1,0.998995602,0.770460606,1680.966252,0.837398260
7,Pass,6,0.999763429,1.89264524,1844.490942,0.602492612197907
8,Pass,3,0.999904275,1.552537441,1690.244975,0.673976998
9,Pass,1,0.999768674,1.712269545,1676.330363,0.640357267
10,Pass,0,0.998450875,1.066889763,1674.972997,0.774802138
11,Pass,9,0.999948382,1.402596831,1668.483815,0.705485448
12,Pass,5,0.95606935,1.562585235,1685.870768,0.642413557725489
13,Pass,7,0.999948621,1.259073257,1712.710333,0.735617142
14,Pass,9,0.999872804,1.000765324,1670.100352,0.789786759
15,Pass,8,0.999727905,1.514384627,1667.900792,0.681866201
16,Pass,5,0.999638557,0.981094778,1675.362187,0.793730110
17,Pass,7,0.999896169,1.289337754,1679.471399,0.729225121
18,Pass,8,0.99988842,1.414190054,1675.850612,0.703009393436744
19,Pass,6,0.999964237,1.370394826,1681.624273,0.712257270
20,Pass,7,0.652941287,1.529552579,1677.069568,0.443260450
21,Pass,0,0.998316288,1.013537049,1678.577294,0.785880352
22,Pass,4,0.997336805,1.629034758,1726.617675,0.656228419
23,Pass,9,0.999902248,0.574761271,1664.799991,0.879241714
24,Pass,5,0.998387694,1.524033546,1674.079227,0.678929563
25,Pass,2,0.995038688,1.520552039,1680.743473,0.677379476
26,Pass,4,0.999237895,1.953609347,1723.845775,0.589386120
27,Pass,0,0.999916553,1.080091476,1674.41672,0.773168014
28,Pass,9,0.99983263,0.764690936,1665.829687,0.839311041574827
29,Pass,6,0.99996376,1.001220226,1676.047964,0.789763099991798
30,Pass,6,0.999694586,1.337908506,1676.526223,0.718883690
31,Pass,5,0.999915004,2.044433355,1682.028897,0.570718433
32,Pass,4,0.99962914,1.421265244,1685.79216,0.701342196794606
33,Pass,5,0.999738872,2.759747505,1696.99446,0.420475420
34,Pass,9,0.99993825,1.030268908,1665.540726,0.783644497540421
35,Pass,2,0.998980463,2.326081276,1702.255606,0.511112747
36,Pass,4,0.999211907,1.339626908,1683.450531,0.718176096
37,Pass,1,0.994965971,1.187974334,1694.288837,0.746803854
38,Pass,9,0.999871969,1.300245404,1667.916149,0.726917681
39,Pass,5,0.999975085,0.675738156,1673.323515,0.858105982
40,Pass,4,0.999855518,0.627852261,1685.535138,0.868055670
41,Pass,6,0.999917984,1.445979476,1691.047877,0.696356471
42,Pass,5,0.999829173,1.218801379,1690.026262,0.743982990
43,Pass,6,0.99994266,1.023817897,1688.112316,0.785002279199931
44,Pass,0,0.999935627,1.398553371,1680.792374,0.706325327
